Strain,Stress
0.0001,46.41164768
0.000600802,159.8069411
0.001101603,265.9871214
0.001602405,319.0823181
0.002103206,319.2421553
0.002604008,320.8343685
0.00310481,322.4280969
0.003605611,323.2142324
0.004106413,322.7512036
0.004607214,322.9128785
0.005108016,323.0746342
0.005608818,323.3868954
0.006109619,324.7584513
0.006610421,322.1406405
0.007111222,325.1612345
0.007612024,328.8811762
0.008112826,332.688122
0.008613627,337.0201876
0.009114429,339.6453691
0.00961523,343.284946
0.010116032,346.344701
0.010616834,350.9706171
0.011117635,354.8719096
0.011618437,356.9806996
0.012119238,361.4974906
0.01262004,362.9436522
0.013120842,366.2020664
0.013621643,370.681669
0.014122445,373.8134864
0.014623246,378.3039711
0.015124048,380.9172222
0.01562485,383.601125
0.016125651,387.629216
0.016626453,391.7127968
0.017127255,394.5905726
0.017628056,398.3898733
0.018128858,401.4988493
0.018629659,403.9069006
0.019130461,407.7258483
0.019631263,410.6406529
0.020132064,412.0463385
0.020632866,415.6306437
0.021133667,418.7570117
0.021634469,421.8864075
0.022135271,425.0188334
0.022636072,428.1542917
0.023136874,430.6710274
0.023637675,433.4229218
0.024138477,437.5742854
0.024639279,438.2761008
0.02514008,441.2932002
0.025640882,444.1087382
0.026141683,448.4039262
0.026642485,447.4788195
0.027143287,450.6387308
0.027644088,452.333082
0.02814489,454.7611162
0.028645691,458.2752515
0.029146493,460.1540982
0.029647295,463.5410182
0.030148096,466.7164207
0.030648898,468.424635
0.031149699,470.133053
0.031650501,471.2560555
0.032151303,474.8191816
0.032652104,476.7438629
0.033152906,479.93613
0.033653707,479.2180883
0.034154509,481.8952825
0.034655311,482.4495779
0.035156112,486.1124341
0.035656914,487.2025843
0.036157715,490.2674383
0.036658517,491.9949389
0.037159319,493.9672657
0.03766012,496.5759829
0.038160922,496.3426703
0.038661723,498.275439
0.039162525,501.710041
0.039663327,504.3726762
0.040164128,505.6196413
0.04066493,507.4952627
0.041165731,505.9892787
0.041666533,507.8692104
0.042167335,510.1974318
0.042668136,510.7252772
0.043168938,514.3008042
0.043669739,515.4457816
0.044170541,515.3334293
0.044671343,517.511433
0.045172144,521.1296588
0.045672946,521.3613628
0.046173747,523.1365114
0.046674549,524.8391908
0.047175351,525.2773634
0.047676152,527.4537546
0.048176954,528.3811816
0.048677756,529.4404827
0.049178557,531.2062765
0.049679359,532.9737067
0.05018016,533.6939494
0.050680962,535.4456256
0.051181764,536.7822342
0.051682565,537.2818235
0.052183367,540.8501362
0.052684168,542.106862
0.05318497,541.5528767
0.053685772,544.1574711
0.054186573,546.3572826
0.054687375,547.7205181
0.055188176,549.3369471
0.055688978,549.7797752
0.05618978,548.36637
0.056690581,550.3307124
0.057191383,550.9207792
0.057692184,551.6361668
0.058192986,554.1864945
0.058693788,553.5301041
0.059194589,556.7333344
0.059695391,556.9377426
0.060196192,558.7382074
0.060696994,558.5762277
0.061197796,560.4104064
0.061698597,561.9377085
0.062199399,561.1626966
0.0627002,562.7740133
0.063201002,565.1041714
0.063701804,566.3830419
0.064202605,565.3400226
0.064703407,566.9506175
0.065204208,569.4591914
0.06570501,570.3029681
0.066205812,570.4894716
0.066706613,571.1417083
0.067207415,573.0150958
0.067708216,573.653486
0.068209018,575.0592654
0.06870982,576.8838358
0.069210621,578.6755571
0.069711423,577.4892044
0.070212224,579.277342
0.070713026,578.8617144
0.071213828,578.3710553
0.071714629,579.3803406
0.072215431,581.5125639
0.072716232,582.2659965
0.073217034,584.0038056
0.073717836,584.2580644
0.074218637,584.6800848
0.074719439,584.9729668
0.07522024,586.4282619
0.075721042,589.9900076
0.076221844,588.935928
0.076722645,588.2112035
0.077223447,589.5261035
0.077724248,589.8214129
0.07822505,591.8345035
0.078725852,591.9580583
0.079226653,593.800943
0.079727455,593.2605833
0.080228257,594.3959935
0.080729058,596.0948946
0.08122986,594.991641
0.081730661,598.3169747
0.082231463,598.8905866
0.082732265,599.7628668
0.083233066,599.2898552
0.083733868,601.8426764
0.084234669,603.9391229
0.084735471,603.2591709
0.085236273,603.0831419
0.085737074,604.2907373
0.086237876,604.2077884
0.086738677,602.9524358
0.087239479,603.254471
0.087740281,606.6038827
0.088241082,608.0588599
0.088741884,604.9340849
0.089242685,605.6598889
0.089743487,607.8923283
0.090244289,607.6775757
0.09074509,610.0657713
0.091245892,611.3857118
0.091746693,610.8031027
0.092247495,611.5528147
0.092748297,614.4239
0.093249098,614.4534473
0.0937499,613.9118359
0.094250701,614.1048276
0.094751503,615.6559511
0.095252305,614.8448815
0.095753106,616.5579363
0.096253908,616.9903482
0.096754709,618.4641735
0.097255511,617.5670624
0.097756313,620.6592165
0.098257114,620.9701219
0.098757916,621.9891467
0.099258717,624.3634442
0.099759519,623.1492632
0.100260321,625.3515899
0.100761122,624.1070018
0.101261924,624.6382711
0.101762725,624.7324228
0.102263527,623.4629746
0.102764329,623.775284
0.10326513,624.3484432
0.103765932,624.4003723
0.104266733,626.2987178
0.104767535,627.1667232
0.105268337,628.51349
0.105769138,629.7786476
0.10626994,632.182303
0.106770741,631.9557506
0.107271543,632.4423404
0.107772345,631.6803996
0.108273146,631.9968255
0.108773948,633.581254
0.109274749,635.4259028
0.109775551,633.755882
0.110276353,633.5226077
0.110777154,636.0940557
0.111277956,634.8107605
0.111778758,636.5180587
0.112279559,636.1322667
0.112780361,637.8964725
0.113281162,638.3696621
0.113781964,639.5590133
0.114282766,639.4080627
0.114783567,639.3294727
0.115284369,640.1130127
0.11578517,641.5740831
0.116285972,643.332729
0.116786774,643.82255
0.117287575,644.2581071
0.117788377,641.253425
0.118289178,642.0644523
0.11878998,640.7054076
0.119290782,642.3652305
0.119791583,644.1496496
0.120292385,644.4723216
0.120793186,645.3538722
0.121293988,647.0579305
0.12179479,646.2401391
0.122295591,647.379038
0.122796393,647.7033278
0.123297194,648.8232649
0.123797996,648.3523943
0.124298798,650.2948203
0.124799599,652.1892291
0.125300401,650.9464845
0.125801202,652.7370664
0.126302004,653.0453969
0.126802806,651.9252045
0.127303607,652.2517713
0.127804409,651.449021
0.12830521,654.0665717
0.128806012,653.6477481
0.129306814,655.185446
0.129807615,655.5136461
0.130308417,654.5656189
0.130809218,656.6272963
0.13131002,656.4992334
0.131810822,658.681984
